pcd	WGS84long	WGS84lat
CM111RU	0.416722	51.6228
CM111RW	0.451892	51.6347
CM111SA	0.435781	51.6379
CM111SB	0.437071	51.6388
CM111SD	0.435349	51.6374
CM111SE	0.439999	51.639
CM111SF	0.439634	51.6397
CM111SG	0.441075	51.6402
CM111SH	0.440062	51.6401
CM111SJ	0.439041	51.6411
CM111SL	0.438051	51.6401
CM111SN	0.436608	51.6401
CM111SQ	0.440121	51.6396
CM111SR	0.416722	51.6228
CM111SX	0.437354	51.6406
CM111SY	0.438342	51.6412
CM111SZ	0.438721	51.6416
CM111UZ	0.416722	51.6228
CM111WA	0.438721	51.6416
